City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,abu dhabi,24.4667,54.3667,80.71,66,0,5.75,AE,1669822695
371,kaputa,-8.4689,29.6619,73.31,78,81,0.72,ZM,1669822817
372,saint anthony,45.0205,-93.218,17.98,71,100,21.85,US,1669822817
373,avera,33.194,-82.5271,60.85,97,100,9.78,US,1669822818
374,rumoi,43.9344,141.6428,22.59,81,98,28.34,JP,1669822819
375,tazovskiy,67.4667,78.7,-6.99,100,74,7.63,RU,1669822819
376,wageningen,51.9667,5.6667,45.1,93,75,6.91,NL,1669822820
377,hirara,24.8,125.2833,72.07,83,100,30.51,JP,1669822823
378,manadhoo,5.7667,73.3833,82.04,67,62,4.81,MV,1669822825
379,matagami,49.7502,-77.6328,30.31,93,100,20.71,CA,1669822826
380,moose factory,51.2585,-80.6094,33.78,93,100,11.5,CA,1669822826
381,bourail,-21.5667,165.4833,78.39,83,46,4.14,NC,1669822828
382,hokitika,-42.7167,170.9667,52.97,86,75,2.82,NZ,1669822829
383,dolores,-36.3132,-57.6792,81.36,54,100,13.76,AR,1669822805
384,pangkalanbuun,-2.6833,111.6167,74.7,97,100,2.33,ID,1669822830
385,jining,35.405,116.5814,23.65,24,100,4.45,CN,1669822709
386,bocas del toro,9.3333,-82.25,78.26,78,94,5.99,PA,1669822831
387,santa maria,-29.6842,-53.8069,85.3,54,0,8.05,BR,1669822831
388,tessalit,20.1986,1.0114,85.5,11,1,7.54,ML,1669822701
389,surt,31.2089,16.5887,64.9,47,0,14.0,LY,1669822832
390,korla,41.7597,86.1469,16.9,18,92,4.16,CN,1669822833
391,chumikan,54.7183,135.315,-5.3,73,100,23.33,RU,1669822833
392,puerto narino,-3.7703,-70.3831,90.36,51,72,5.28,CO,1669822833
393,kirgiz-miyaki,53.6324,54.7979,0.73,99,84,2.93,RU,1669822670
394,anchorage,61.2181,-149.9003,14.86,86,40,4.61,US,1669822271
395,lethem,3.3803,-59.7968,87.03,56,88,9.73,GY,1669822835
396,gobabis,-22.45,18.9667,90.88,14,9,16.35,NA,1669822836
397,kinna,57.5073,12.6946,39.74,87,100,5.48,SE,1669822836
398,bahia honda,22.9036,-83.1592,82.04,68,81,7.31,CU,1669822837
399,prince rupert,54.3161,-130.3201,24.49,44,100,25.32,CA,1669822837
400,hovd,48.0056,91.6419,-5.08,78,75,2.35,MN,1669822838
401,palmer,42.1584,-72.3287,49.86,81,100,3.0,US,1669822603
402,fort nelson,58.8053,-122.7002,-26.01,68,40,3.44,CA,1669822838
403,pimenta bueno,-11.6725,-61.1936,94.03,41,21,7.9,BR,1669822839
404,tura,25.5198,90.2201,63.39,81,1,3.4,IN,1669822839
405,ouahigouya,13.5828,-2.4216,92.75,9,37,7.07,BF,1669822840
406,tuatapere,-46.1333,167.6833,42.58,81,41,6.11,NZ,1669822840
